DEPT,TENS,BHVT,AHVT,BS,GR,CALI,RHOB,NPHI,LLD,LLS,MSFL,SP,DHTN
8448,1313.3002,1086.1652,418.6506,12.25,84.7363,12.3293,2.3226,28.3102,6.0336,4.0902,1.5348,135.1125,1618.5334
8448.25,1315.4651,1085.7506,418.4886,12.25,84.7363,12.3348,2.3285,28.3102,6.0336,4.0902,1.6406,133.3136,1614.9117
8448.5,1318.8544,1085.7506,418.4886,12.25,89.9512,12.3348,2.3285,28.5637,5.4795,3.9219,1.6406,133.3136,1614.9117
8448.75,1321.6226,1085.3356,418.3263,12.25,89.9512,12.3458,2.3662,28.5637,5.4795,3.9219,1.9015,131.0257,1626.1393
8449,1322.838,1085.3356,418.3263,12.25,89.4676,12.3458,2.3662,30.833,4.8033,3.363,1.9015,131.0257,1626.1393
8449.25,1321.1523,1084.9204,418.1638,12.25,89.4676,12.3335,2.3888,30.833,4.8033,3.363,1.8315,129.1539,1626.1393
8449.5,1319.6707,1084.9204,418.1638,12.25,88.6858,12.3335,2.3888,33.2714,4.5779,3.4443,1.8315,129.1539,1626.1393
8449.75,1318.5883,1084.506,418.0019,12.25,88.6858,12.3005,2.3946,33.2714,4.5779,3.4443,1.9421,128.0939,1633.0206
8450,1315.5981,1084.506,418.0019,12.25,92.0952,12.3005,2.3946,31.2686,4.3025,3.1367,1.9421,128.0939,1633.0206
8450.25,1310.9313,1084.0924,417.841,12.25,92.0952,12.3541,2.4,31.2686,4.3025,3.1367,2.0126,127.9682,1640.2642
8450.5,1306.353,1084.0924,417.841,12.25,89.1049,12.3541,2.4,33.0202,4.1538,3.0725,2.0126,127.9682,1640.2642
8450.75,1303.9397,1083.6761,417.6774,12.25,89.1049,12.3376,2.3782,33.0202,4.1538,3.0725,1.9585,128.3114,1640.2642
8451,1302.5378,1083.6761,417.6774,12.25,81.7057,12.3376,2.3782,32.428,4.0971,3.2711,1.9585,128.3114,1626.5015
8451.25,1303.2388,1083.2611,417.5149,12.25,81.7057,12.3568,2.3552,32.428,4.0971,3.2711,1.6166,127.6829,1626.5015
8451.5,1305.1108,1083.2611,417.5149,12.25,82.4795,12.3568,2.3552,32.3927,3.9036,2.955,1.6166,127.6829,1606.5815
8451.75,1309.2632,1082.8442,417.3508,12.25,82.4795,12.3871,2.3755,32.3927,3.9036,2.955,1.7496,127.2854,1606.5815
8452,1314.5245,1082.8442,417.3508,12.25,90.5799,12.3871,2.3755,34.8131,3.4842,2.8525,1.7496,127.2854,1606.5815
8452.25,1318.5793,1082.4259,417.1851,12.25,90.5799,12.3788,2.3946,34.8131,3.4842,2.8525,1.8051,126.2089,1606.5815
8452.5,1322.288,1082.4259,417.1851,12.25,96.5686,12.3788,2.3946,33.7169,3.1827,2.4938,1.8051,126.2089,1604.0464
8452.75,1325.704,1082.0079,417.0199,12.25,96.5686,12.3788,2.3839,33.7169,3.1827,2.4938,1.8722,125.7696,1604.0464
8453,1327.4518,1082.0079,417.0199,12.25,91.0232,12.3788,2.3839,33.2189,2.8842,2.5361,1.8722,125.7696,1616.3604
8453.25,1327.9486,1081.5901,416.8548,12.25,91.0232,12.3417,2.3657,33.2189,2.8842,2.5361,1.7492,125.7356,1616.3604
8453.5,1327.23,1081.5901,416.8548,12.25,82.6165,12.3417,2.3657,34.3881,2.5894,2.1933,1.7492,125.7356,1616.3604
8453.75,1324.7545,1081.1764,416.6937,12.25,82.6165,12.2922,2.3519,34.3881,2.5894,2.1933,1.7719,127.0079,1634.4694
